date,age,aliq_at,aliq_mat,ami_126d,at_be,at_gr1,at_me,at_turnover,be_gr1a,be_me,beta_60m,beta_dimson_21d,betabab_1260d,betadown_252d,bev_mev,bidaskhl_21d,capex_abn,capx_gr1,capx_gr2,capx_gr3,cash_at,chcsho_12m,coa_gr1a,col_gr1a,cop_at,cop_atl1,corr_1260d,coskew_21d,cowc_gr1a,dbnetis_at,debt_gr3,debt_me,dgp_dsale,div12m_me,dolvol_126d,dolvol_var_126d,dsale_dinv,dsale_drec,dsale_dsga,earnings_variability,ebit_bev,ebit_sale,ebitda_mev,emp_gr1,eq_dur,eqnetis_at,eqnpo_12m,eqnpo_me,eqpo_me,f_score,fcf_me,fnl_gr1a,gp_at,gp_atl1,inv_gr1,inv_gr1a,iskew_capm_21d,iskew_ff3_21d,iskew_hxz4_21d,ival_me,ivol_capm_21d,ivol_capm_252d,ivol_ff3_21d,ivol_hxz4_21d,kz_index,lnoa_gr1a,lti_gr1a,market_equity,mispricing_mgmt,mispricing_perf,ncoa_gr1a,ncol_gr1a,netdebt_me,netis_at,nfna_gr1a,ni_ar1,ni_be,ni_inc8q,ni_ivol,ni_me,niq_at,niq_at_chg1,niq_be,niq_be_chg1,niq_su,nncoa_gr1a,noa_at,noa_gr1a,o_score,oaccruals_at,oaccruals_ni,ocf_at,ocf_at_chg1,ocf_me,ocfq_saleq_std,op_at,op_atl1,ope_be,ope_bel1,opex_at,pi_nix,ppeinv_gr1a,prc,prc_highprc_252d,qmj,qmj_growth,qmj_prof,qmj_safety,rd5_at,rd_me,rd_sale,resff3_12_1,resff3_6_1,ret_12_1,ret_12_7,ret_1_0,ret_3_1,ret_60_12,ret_6_1,ret_9_1,rmax1_21d,rmax5_21d,rmax5_rvol_21d,rskew_21d,rvol_21d,sale_bev,sale_emp_gr1,sale_gr1,sale_gr3,sale_me,saleq_gr1,saleq_su,seas_11_15an,seas_11_15na,seas_16_20an,seas_16_20na,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,seas_6_10an,seas_6_10na,sti_gr1a,taccruals_at,taccruals_ni,tangibility,tax_gr1a,turnover_126d,turnover_var_126d,z_score,zero_trades_126d,zero_trades_21d,zero_trades_252d
30-11-1926,-0.031501436,,,-0.00623148,,,,,,,,-0.008782475,,-0.007066538,,0.003631244,,,,,,,,,,,,0.016303635,,,,,,,-0.017277841,0.009647742,,,,,,,,,,,,,,,,,,,,,0.007655212,,,,0.018853529,0.008031244,,,,,,-0.011294872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006485716,-0.002517274,,,,,,,,,,,,0.01737867,0.016877186,,0.019064201,0.007769859,0.02037762,0.021021064,0.019215339,0.024597693,0.00806341,,,,,,,,,,,,,,,,,,,,,,,-0.019169393,0.00912007,,-0.00593442,-0.00299224,-0.003304364
31-12-1926,0.004599302,,,-0.013369008,,,,,,,,-0.011749051,,-0.018748869,,-0.00243766,,,,,,,,,,,,0.007974732,,,,,,0.006525923,-0.016698153,0.01832577,,,,,,,,,,,,,,,,,,,,,0.004060321,,,,0.011290841,-0.005316377,,,,,,-0.004872269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007559582,-0.008655451,,,,,,,,,,,,0.012011984,-0.012182979,,-0.010278113,-0.007837233,0.008099589,0.012060936,0.021250579,0.00305639,0.005643065,,,,,,,,,,,,,,,,,,,,,,,-0.013199519,0.012939838,,-0.017366026,-0.006303916,-0.012708538
31-1-1927,0.001223213,,,0.006598142,,,,,,,,0.003560563,,-0.004998883,,-0.005698472,,,,,,-0.020386213,,,,,,-0.011067329,,,,,,0.002217858,0.008643121,-0.010131469,,,,,,,,,,,0.005282171,,,,,,,,,,0.001030433,,,,-0.001341942,-0.000981785,,,,,,0.012015985,,-0.001837137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017943895,0.020957428,,,,,,,,,,-0.001837137,0.005850196,-0.014050564,0.009551058,,0.010367,0.017213578,0.007501596,-0.001217678,-0.002870704,0.001852807,0.000656007,,,,,,,,,,,,-0.003161432,0.013444085,,,,,,,,,,0.00334911,-0.009723789,,0.005079918,-0.000566965,0.004594184
28-2-1927,-0.010871395,,,-0.012212019,,,,,,,,-0.010537086,,-0.039708824,,0.022919186,,,,,,-0.01238648,,,,,,-0.004087257,,,,,,-0.022276911,-0.018514895,0.002925037,,,,,,,,,,,-0.015737383,,,,,,,,,,-0.001434922,,,,-0.022241171,-0.016962775,,,,,,0.02104082,,-0.028086074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009384264,-0.006894414,,,,,,,,,,-0.028086074,-0.020186669,-0.020811838,0.024035196,,-0.008431988,-0.000937844,-0.023336227,-0.034677749,-0.009741659,0.01263477,-0.030590374,,,,,,,,,,,,-0.036639993,0.007683959,,,,,,,,,,-0.032688562,0.007551505,,-0.01977762,-0.028173746,-0.019282602
31-3-1927,0.007823374,,,0.005898342,,,,,,,,0.008879611,,0.027228099,,-0.02736144,,,,,,-0.00190266,,,,,,0.010656849,,,,,,0.012257326,0.017480166,-0.00842462,,,,,,,,,,,0.029314762,,,,,,,,,,-0.006945273,,,,0.022203946,0.042045017,,,,,,-0.024616006,,0.045025511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068167131,0.045293285,,,,,,,,,,0.045025511,0.043892162,-0.01118534,0.011706618,,0.035014455,0.035264752,0.032476332,0.029595919,-0.004726824,0.005240079,0.02689836,,,,,,,,,,,,0.027717212,0.031834832,,,,,,,,,,0.043634517,-0.015434643,,0.034796598,0.046609481,0.037427084
30-4-1927,-0.015606026,,,-0.018575301,,,,,,,,0.02514024,,-0.000372441,,-0.007162229,,,,,,0.004972532,,,,,,0.006651052,,,,,,-0.022676198,-0.009782432,0.004164572,,,,,,,,,,,0.002159674,,,,,,,,,,-0.019182199,,,,0.008286031,0.007299312,,,,,,-0.000845828,,0.023702902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030519883,0.04133428,,,,,,,,,,0.023702902,0.0073445,-0.035366096,0.024036549,,0.016116535,0.026179387,0.010995563,0.006770529,-0.003482217,-0.013148201,0.020084596,,,,,,,,,,,,0.016100296,0.034035018,,,,,,,,,,-0.003021511,0.001326384,,-0.004473651,0.007126499,0.006337422
31-5-1927,-0.009155361,,,-0.01053187,,,,,,,,-0.003755927,,-0.005421072,,0.017370468,,,,,,0.001816292,,,,,,0.01359337,,,,,,-0.026477828,-0.011785082,-0.002156322,,,,,,,,,,,-0.023427598,,,,,,,,,,-0.012179461,,,,-0.003103829,-0.012839379,,,,,,0.007296451,,0.043191057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020777814,0.025487845,,,,,,,,,,0.043191057,0.016774342,-0.021395854,0.034972369,,0.036385657,0.037071467,-0.011975121,0.003638401,0.006868924,-0.001504835,-0.002912853,,,,,,,,,,,,0.002563606,0.044532532,,,,,,,,,,-0.014903677,-0.000700005,,0.005695341,0.001434573,0.005470318
30-6-1927,0.021207068,,,0.018602373,,,,,,,,0.006890912,,0.005905104,,0.000493908,,,,,,0.003014231,,,,,,-0.002158063,,,,,,-0.014525991,0.021635007,-0.018053599,,,,,,,,,,,0.008471236,,,,,,,,,,0.003115737,,,,0.012917607,0.000456354,,,,,,0.007821653,,0.012166013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014431582,0.017180844,,,,,,,,,,0.012166013,0.005228422,-0.007577289,0.015878094,,0.008860819,0.017033701,0.000977904,0.006200246,0.00291143,0.004798118,0.012258823,,,,,,,,,,,,-0.005208233,0.026140995,,,,,,,,,,0.018352117,-0.024258239,,0.023730671,0.019085945,0.020481197
31-7-1927,-0.023538412,,,-0.027013772,,,,,,,,0.000988893,,-0.01544056,,-0.027787641,,,,,,0.015085531,,,,,,0.003033932,,,,,,-0.000410242,-0.020222548,0.026789591,,,,,,,,,,,0.010990346,,,,,,,,,,0.001074267,,,,0.022761728,0.013968978,,,,,,-0.022375925,,0.017225752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025351682,0.023062235,,,,,,,,,,0.017225752,0.020019678,0.000413257,0.019963425,,0.018381572,0.012453435,0.025541819,0.018000434,0.01630117,0.014267239,0.022235743,,,,,,,,,,,,0.021013537,0.014229218,,,,,,,,,,-0.00643193,0.027689854,,-0.014194375,-0.006255016,-0.018044226
31-8-1927,0.00573918,,,0.008048278,,,,,,,,0.010783064,,0.006911554,,-0.016887213,,,,,,0.029082862,,,,,,2.36E-05,,,,,,0.000509395,0.015436716,-0.007739299,,,,,,,,,,,0.019296584,,,,,,,,,,0.006939025,,,,0.01610948,0.018979431,,,,,,-0.020525852,,-0.010831454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000224961,0.014805928,,,,,,,,,,-0.010831454,0.010665453,-0.01086299,-0.014394252,,-0.003437214,-0.01130359,0.004955846,0.009898361,0.003441945,-0.003490181,0.017343209,,,,,,,,,,,,-0.012059547,-0.002679781,,,,,,,,,,0.023123187,-0.007517345,,0.01030372,0.012014898,0.007789167
30-9-1927,0.019042512,,,-0.025236311,,,,,,,,-0.023827115,,-0.00120672,,-0.01437858,,,,,,0.014725375,,,,,,0.000631274,,,,,,-0.031112784,-0.021325153,0.024080006,,,,,,,,,,,-0.019658137,,,,,,,,,,0.000365912,,,,0.00171871,0.005800389,,,,,,-0.026838662,,0.022280122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023151974,0.02340712,,,,,,,,,,0.022280122,0.004511611,-0.018031037,0.024464004,,0.039542296,0.026988216,-0.001287671,0.001984918,-0.008117433,-0.000821002,-0.005956989,,,,,,,,,,,,0.01087144,0.036058051,,,,,,,,,,-0.014027417,0.025032915,,-0.016641554,-0.021293681,-0.004322538
31-10-1927,0.002008105,,,0.029725086,,,,,,,,0.040801509,,0.063034491,,-0.020216652,,,,,,-0.034262893,,,,,,0.011776554,,,,,,0.028711833,0.045868376,-0.033410288,,,,,,,,,,,0.023418265,,,,,,,,,,0.001626465,,,,0.003375737,0.018084774,,,,,,0.002170697,,-0.008519426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008703965,0.01557408,,,,,,,,,,-0.008519426,-0.013309124,-0.005938852,0.016259201,,0.006782488,-0.009296838,0.016081303,0.017212139,0.00048498,-0.001944729,0.031345675,,,,,,,,,,,,0.051323979,-0.016402831,,,,,,,,,,0.046017376,-0.03768818,,0.054268961,0.049401325,0.048873676
30-11-1927,-0.017210167,,,0.006721429,,,,,,,,-0.027985168,,-0.030189496,,0.036770167,,,,,,0.0262578,,,,,,0.009458261,,,,,,-0.009092984,-0.006689562,0.012446539,,,,,,,,,,,0.00635859,,,,,,,,,,-0.00791725,,,,-0.026065488,-0.035389908,,,,,,0.021181139,,0.000725431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016710732,-0.015671823,,,,,,,,,,0.000725431,-0.018830388,0.01174276,0.012571291,,0.021834176,0.010658268,-0.019819521,-0.025436512,-0.006033993,-0.001108558,-0.031851395,,,,,,,,,,,,-0.008109815,-0.004367809,,,,,,,,,,-0.018053031,0.013199179,,-0.02015005,-0.022180588,-0.018509268
31-12-1927,-0.011978382,,,-0.003384978,,,,,,,,0.016944271,,-0.019798594,,0.016538941,,,,,,-0.016425786,,,,,,0.021626019,,,,,,0.010911924,-0.001623939,0.00480434,,,,,,,,,,,0.027763717,,,,,,,,,,0.004818925,,,,-0.014559073,-0.001031372,,,,,,0.003667633,,0.013885731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006905571,0.022981549,,,,,,,,,,0.013885731,0.007453605,-0.015575082,0.002450754,,0.01303167,0.01296881,-0.004235283,-0.008563011,0.005301506,0.022437351,-0.010342709,,,,,,,,,,,,0.002007441,0.016897047,,,,,,,,,,-0.01326271,0.010857207,,-0.005625673,-0.012007861,0.004382169
31-1-1928,0.003820444,,,0.010671135,,,,,,,,0.008533906,,0.013044011,,0.001408464,,,,,,0.007943277,,,,,,-0.020062217,,,,,,-0.014297712,0.028015969,-0.008947856,,,,,,,,,,,-0.022422281,,,,,,,,,,0.000410411,,,,0.00071385,-0.011884589,,,,,,0.02812128,,0.013548433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008909789,0.011713241,,,,,,,,,,0.013548433,0.022772554,0.001678025,0.011984679,,0.008207781,0.014417415,0.001700769,0.007448329,0.008189055,-0.013353717,0.006063639,,,,,,,,,,,,0.00733527,0.01226784,,,,,,,,,,0.010898375,-0.009778851,,0.031053315,0.034718304,0.029624975
29-2-1928,0.006073254,,,-0.002306377,,,,,,,,-0.000517449,,0.027601114,,-0.010801407,,,,,,0.007398414,,,,,,0.00559711,,,,,,0.018527976,0.008504281,-0.007940037,,,,,,,,,,,0.005944801,,,,,,,,,,0.013750822,,,,0.007813688,0.044591406,,,,,,-0.002847248,,-0.011139161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002023033,0.007333288,,,,,,,,,,-0.011139161,-0.020895342,0.002562439,-0.005445049,,-0.005334809,-0.007391955,0.009150571,0.01341504,0.001161345,0.004294859,0.015654648,,,,,,,,,,,,-0.023059744,-0.014070307,,,,,,,,,,0.022629797,-0.007936807,,0.00662595,0.015155877,0.005655187
