,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
200508,0.4652,-1.0956,-1.116,-2.6632,-1.6746,-1.3745,-1.8471,-0.9528,-0.9505,-2.0879,-0.8476,-1.4713,-1.8445,-0.3867,-1.6507,-0.4361,-1.4916,-0.3961,0.0601,-0.9348,-1.6714,-0.9191,-1.6313,0.5267,-1.827
200509,0.3439,1.0184,0.6844,0.0957,0.8909,0.9616,-0.6771,0.5617,1.3568,0.6001,0.7166,-0.1073,-1.0422,1.9095,1.4304,1.4344,0.6795,0.6303,0.287,2.6891,0.2752,-0.1219,-0.2953,1.3307,1.9838
200510,-4.2137,-3.163,-2.3443,-2.2143,-3.2538,-4.8106,-1.8459,-2.7101,-2.1624,-3.3904,-2.47,-2.49,-2.9523,-2.4821,-4.5227,-3.1059,-3.2073,-2.8088,-2.6215,-2.3125,-2.6516,-1.3742,-0.655,-2.1716,0.1827
200511,3.9711,4.3961,4.263,4.1326,4.6932,5.0092,4.4535,3.5338,4.5796,6.1532,4.4989,3.9809,5.4446,6.3705,6.2709,3.9164,4.3407,4.8128,3.8512,5.0566,2.0867,5.0887,1.2432,4.3749,4.618
200512,0.3369,0.7722,-0.4937,-0.5658,0.4001,0.7306,1.3073,-0.5716,-0.685,-1.3129,1.3848,0.2736,-0.2095,0.4127,0.7106,1.4815,0.2046,1.4064,1.7401,0.7966,-0.3446,-0.8494,0.7327,-0.5494,0.3044
200601,10.4491,6.7988,8.9455,6.8495,10.7429,9.0076,5.9717,9.1529,10.2118,9.0853,5.4952,6.3801,6.8419,9.1552,6.6727,3.6301,3.1318,5.8198,4.5459,6.0582,4.246,0.8344,1.3037,2.6755,2.6771
200602,1.5493,0.4631,-0.303,1.5748,-1.8361,1.2467,0.4797,-0.6009,-0.7222,-1.502,0.2141,0.6143,0.0372,-1.8422,-1.229,1.0088,0.4255,-0.3552,-0.2054,-0.2462,1.3849,0.5159,1.7852,-0.7823,-0.84
200603,5.6295,5.6774,4.9668,5.0462,4.0921,3.8376,4.8905,4.8158,5.5834,4.7243,4.6249,0.1737,2.3425,6.0378,4.2799,3.0109,2.1934,1.8827,2.6586,3.5841,1.5428,1.1666,0.1528,1.7325,1.2426
200604,-0.1604,0.5999,0.3619,0.5604,-0.7617,-0.3439,0.7875,0.3034,2.7833,0.8007,-0.3345,1.4786,0.7317,0.4038,-0.088,2.2788,0.573,1.0409,0.8414,1.9012,1.1381,0.7934,1.081,1.2882,1.3777
200605,-6.0406,-3.6644,-3.9325,-4.4937,-8.0336,-5.7219,-4.2711,-4.6664,-5.2831,-5.2235,-5.3778,-1.4679,-5.6187,-4.0814,-5.8566,-2.7799,-2.9548,-3.0608,-3.9415,-4.8114,-1.5139,-1.8235,-0.4856,-2.5393,-5.5776
