,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
201101,-1.0143,1.4563,-2.2976,-2.1823,-2.6023,1.9707,0.9034,1.5325,0.1642,-0.1532,2.1788,1.2265,1.4803,0.0172,2.3633,4.2314,3.3189,1.9827,1.471,2.0573,1.8254,3.1005,3.6634,1.1851,1.5109
201102,5.8686,4.7737,5.7279,4.1098,3.351,7.146,6.2256,5.7867,5.0786,4.8379,7.0477,4.4959,5.5872,6.2039,5.4327,3.6719,3.0018,4.483,3.2854,5.0531,4.6762,2.5569,3.1197,3.3344,3.3033
201103,2.3104,3.7209,3.2657,1.8437,2.1386,4.023,2.0074,3.9059,3.5397,1.3849,0.6706,3.0142,4.09,3.2784,3.3735,0.2787,1.9724,1.4687,1.5531,3.6634,-0.2101,-1.0203,0.9867,-0.2539,-0.3341
201104,0.7235,1.2296,2.0058,0.5076,2.5131,1.6403,2.7778,1.0784,3.3137,2.3019,4.2101,2.4795,5.3415,2.4945,3.5569,1.5368,4.1064,3.261,2.7046,2.1921,1.9754,1.6423,3.6225,4.0083,2.8889
201105,-4.1319,-1.9936,-1.3862,-1.7209,-1.739,-3.174,-2.1106,-2.5639,-0.7678,-1.9357,-2.6209,-0.4613,-1.1128,-2.8197,-1.0656,-2.7368,-0.8884,-0.3384,-0.4279,0.2734,-2.9238,-2.5716,-1.0986,-1.0915,-0.5624
201106,-4.0908,-2.8209,-0.5858,-1.3039,-2.8742,-2.5639,-0.8569,-0.1304,-0.6107,-1.6142,-3.1511,-1.2106,-1.368,-1.7064,-1.4708,-3.9994,-2.7349,-0.8442,-1.652,-1.8288,-3.4433,-2.303,-1.3371,-0.5844,-2.0147
201107,-2.6564,-2.1914,-1.8705,-2.9866,-3.0261,-4.1603,-4.6993,-5.4622,-2.5361,-4.0893,-5.3147,-5.4594,-3.5411,-3.3799,-4.1774,-3.9378,-3.5156,-4.0628,-3.2724,-2.7196,-4.5068,-3.0884,-2.2258,-2.4319,0.6157
201108,-12.221,-8.4559,-8.8903,-9.6562,-11.6648,-12.0555,-8.5255,-8.6995,-8.8268,-9.355,-9.5705,-8.7312,-7.4286,-7.7231,-8.5702,-10.7442,-7.9484,-4.4692,-7.1595,-7.8744,-4.3508,-5.4782,-4.8856,-5.4643,-5.2991
201109,-12.4821,-9.9575,-9.1203,-9.9525,-11.623,-12.3487,-9.5049,-12.1468,-11.2904,-11.0199,-12.6448,-10.1796,-10.8192,-12.8079,-10.6583,-9.3589,-9.9109,-8.6114,-11.0213,-9.9749,-5.2743,-7.6008,-7.052,-7.7054,-5.415
201110,13.1741,13.5942,13.4229,13.4015,12.1265,15.1281,14.9254,15.4737,17.6049,14.8636,16.3447,14.5888,15.9662,14.7468,14.9023,11.5179,13.9173,12.7275,16.8099,12.7594,8.7512,10.9876,10.9338,10.67,10.3395
201111,-1.1506,-0.5564,0.0964,0.2416,-3.4979,1.1913,1.6555,-0.3095,0.0466,-1.5129,-0.3228,0.3432,1.19,0.125,-1.8373,-1.4379,0.0426,0.1172,-0.9352,0.8598,0.0695,0.05,-0.1254,0.4832,-0.9475
201112,1.3381,1.8545,2.3186,0.5551,-0.2816,-0.0926,1.5483,0.6074,0.8347,-0.5473,1.0831,-0.2747,0.6744,-0.0796,-1.1471,0.9197,1.2059,0.0673,-0.0916,-2.5976,4.2915,1.4002,1.1212,0.5438,-0.4175
201201,10.8199,6.881,6.7637,7.8894,9.1714,6.5193,5.9369,7.4778,5.7349,7.5097,6.3749,5.033,5.8293,6.2767,7.1595,7.0518,4.2618,3.775,7.0035,8.3337,2.0472,3.7156,5.3835,5.3971,5.1313
201202,3.3308,0.9037,1.0049,0.261,1.068,4.9402,3.7362,2.9374,2.329,3.591,5.4411,2.5891,4.0025,5.231,3.1726,6.759,1.9367,5.0515,4.4702,5.275,3.7086,5.8004,3.047,3.4109,5.7137
201203,4.6635,2.9913,3.397,4.7298,2.6454,2.0928,3.7518,2.995,1.2439,2.1797,3.5865,1.4283,0.6459,1.5961,1.1421,3.3609,2.2257,1.6162,1.2695,1.7094,3.7736,3.928,3.5336,1.9054,3.777
201204,-2.0588,-0.3749,-1.414,-1.2495,-2.9791,-2.11,-1.8534,-0.6987,-2.3124,-0.9304,-1.2616,-1.1039,0.5748,-1.2068,-1.9429,-1.1796,0.871,-0.3735,0.1633,-2.1517,-0.0326,-0.8516,-1.7669,-0.5561,-0.2874
201205,-7.138,-4.8072,-5.7908,-6.601,-8.4693,-5.8756,-5.6953,-4.7254,-6.5106,-6.7564,-6.6405,-7.0951,-6.1,-7.0247,-7.9187,-6.6631,-7.0164,-7.0022,-8.2923,-7.8028,-3.6117,-4.6342,-6.1309,-6.5579,-6.8282
201206,6.0196,6.0318,5.6762,5.8283,5.9866,6.2098,4.4093,4.1877,4.0322,6.0897,5.4589,3.7208,2.5464,2.9397,3.6671,4.9039,1.4153,2.4909,1.4319,1.3946,4.605,4.7955,3.5359,3.3251,4.1807
201207,-1.333,-2.9116,-0.6178,-0.9356,-3.7142,-2.9328,-0.9233,-0.1318,-1.3364,-2.1325,-1.9716,-3.3676,0.6095,-0.7592,-1.2709,-0.556,-0.0631,-0.6129,-0.403,-1.461,0.5099,1.6976,1.1148,1.4522,1.5438
201208,2.1765,3.7753,3.2797,3.0425,2.4845,3.9645,3.1586,0.7581,2.8395,2.6159,5.4063,4.0634,2.7218,2.9039,5.839,4.9182,2.9429,3.0112,4.3033,4.6518,4.19,0.1831,1.3344,1.4762,4.7606
201209,4.478,5.8555,4.0376,4.2023,3.9822,4.2639,3.1365,4.9011,3.8685,4.3352,2.3641,3.5733,2.733,2.3739,2.2775,3.5996,2.7291,2.0319,1.2369,1.4094,4.9588,3.4304,2.4027,2.2096,1.922
201210,-4.1452,-2.2989,-1.7092,-3.0246,-4.055,-2.518,-1.7297,-1.2304,-1.0337,-4.765,0.4443,-0.9007,-0.5349,-0.1071,-2.1291,0.9987,-0.5209,1.4745,-1.6798,-1.1644,0.356,-1.617,-0.8835,-1.4389,-5.1133
201211,1.3846,2.2086,-0.1211,0.1203,-0.4165,0.7372,0.735,1.2461,0.1728,-0.1982,3.8434,2.0413,2.0395,2.176,1.7056,-0.0157,3.0489,0.6672,2.3403,2.2133,1.0462,0.8388,0.0518,-0.002,1.2805
201212,3.1188,5.213,3.8681,3.996,2.2662,3.4847,3.978,4.1709,3.5822,2.9618,2.1654,2.924,2.7395,2.2875,4.5594,3.018,2.0413,1.2873,2.984,3.7821,2.7165,0.1526,1.1617,1.0215,-0.9388
201301,5.9484,4.9949,7.2408,4.9142,5.817,7.8567,5.5689,6.5202,5.7118,6.6159,6.8212,6.8053,7.0262,6.5327,5.9152,9.0662,6.5498,6.5336,7.664,7.4905,6.929,6.6795,5.3407,5.8366,2.0579
201302,1.1234,0.878,1.7389,-0.1189,0.1797,1.094,1.511,1.2344,0.754,1.5086,2.1349,1.6986,1.5972,1.0703,0.8933,2.1137,2.1901,1.4321,0.7784,-0.3899,1.4138,1.4368,2.2996,0.9745,0.4057
201303,6.0941,5.5059,3.0497,4.2873,6.2836,5.7664,4.9078,4.1236,4.3839,4.1522,3.6425,6.3057,4.9158,5.1595,4.2869,5.5213,5.4763,4.7925,4.1081,2.8593,4.873,4.3307,4.747,3.8387,1.7013
201304,1.149,-0.2564,1.6418,-0.9725,-0.6862,1.3529,-0.7543,-2.1657,-0.4799,-1.2852,-0.2659,-0.4037,0.3125,-0.9599,-2.3487,0.2568,1.2849,1.2561,0.2422,1.4695,1.524,1.8628,2.6217,1.1948,2.1719
201305,5.9084,4.9865,7.689,3.8146,5.6295,6.7635,5.2951,2.398,5.8753,6.0837,3.3401,4.0773,2.8106,4.4773,7.1556,3.8504,3.21,1.7624,4.7522,3.8523,3.5103,0.0064,2.6227,2.723,3.1879
201306,1.1261,0.4007,1.6347,-0.0478,0.0105,-0.1319,-0.4736,0.7508,1.0138,0.388,-1.5643,-0.843,-0.1674,-0.5625,-1.0767,-2.9029,-1.4163,-1.7895,-1.1866,-1.7973,-1.7972,-2.3797,0.1412,-0.5396,-3.0416
201307,9.9044,7.5578,7.8398,7.35,7.1439,7.699,7.5681,5.5241,6.5182,6.8749,9.5626,9.0038,7.5498,5.4198,7.0474,7.3973,6.5289,5.8163,6.064,7.8895,4.4056,4.8455,5.5463,3.6007,7.9104
201308,-3.1577,-3.5358,-3.414,-4.3803,-0.8776,-3.283,-4.6266,-3.3277,-2.7033,-0.1419,-3.5886,-2.526,-2.6927,-3.6443,-1.583,-1.7042,-3.6301,-3.0977,-1.9501,-1.7957,-2.9048,-3.5393,-4.482,-2.0899,-0.4063
201309,7.1378,5.7872,6.5805,6.1325,8.1105,6.2764,4.6322,7.4656,5.9761,7.2056,5.3214,5.8824,4.9356,5.3651,6.5164,4.7429,5.0001,5.1731,4.4857,6.8633,2.494,2.8587,2.7136,3.3933,4.2728
201310,1.7926,2.6319,3.0992,3.1234,-0.3773,1.4572,4.2843,3.6685,2.7481,-0.3579,3.3902,2.75,4.9226,4.0505,4.0249,2.9723,4.1907,4.8756,2.4765,2.414,6.745,3.6833,3.8322,4.3023,5.5097
201311,7.1739,5.1383,7.4837,4.2342,5.3932,2.8895,5.1695,4.3429,4.8519,4.2393,4.3289,4.9873,2.7587,2.7405,2.2531,3.2679,2.5778,1.9425,1.3495,1.1182,1.6988,3.3776,3.6866,3.0758,3.2043
201312,2.3599,1.2075,1.1723,1.5342,3.0723,3.1834,1.7958,0.4761,2.7459,2.6028,2.9785,2.5785,3.9953,2.792,2.2418,2.99,3.5,2.8666,3.6363,3.0772,2.1829,2.7093,2.0673,2.6116,3.3163
201401,-0.6194,-4.1246,-4.596,-2.812,1.2319,-3.2329,-4.9454,-3.4929,-5.1758,-0.4203,-2.9993,0.3164,-2.979,-3.449,-2.4328,-4.8657,-2.9416,-2.6078,-2.2758,-2.4876,-5.6916,-4.3162,-2.9645,-3.7811,-1.9261
201402,5.0492,3.866,3.9551,3.8441,5.1996,4.1748,4.1204,4.4284,4.1007,5.8088,6.0747,5.1344,3.2653,4.6445,7.4613,6.6052,5.2341,4.9489,5.0095,7.3638,3.6152,4.8716,3.6331,4.6463,5.1763
201403,-0.5591,0.516,1.2519,2.2552,-2.3593,-0.5506,0.0056,2.4049,1.4419,-3.2162,0.3203,-0.1872,0.4719,-1.0303,-3.524,-0.4665,1.635,0.4298,-0.4527,-1.6733,1.8354,0.793,2.6269,2.032,-3.0462
201404,-6.37,-3.2391,-3.9156,-4.0779,-7.4134,-4.324,-4.1583,-2.973,-2.6186,-4.4036,-1.7782,-2.8199,-1.7631,-2.4465,-4.2491,-0.6054,0.6476,-0.544,-1.6205,-3.8809,1.6531,1.4011,0.095,0.4588,0.5232
201405,-1.9932,-0.3166,0.8057,-0.6964,-0.5662,1.1939,0.3726,0.8178,0.719,-1.0204,0.2581,0.6096,2.3309,2.2378,1.4637,2.7952,0.8826,1.9634,1.8189,3.2878,2.3619,0.8175,1.7448,2.4508,4.2141
201406,5.6358,2.898,3.2808,3.7469,8.3919,4.7727,6.1845,5.1613,5.1821,8.2336,4.5465,5.1436,2.919,5.2248,6.9894,4.5279,2.9353,2.3738,4.693,5.5538,0.6755,0.8726,1.2373,2.3816,3.6102
201407,-6.2039,-3.9916,-5.6204,-5.7025,-9.5735,-3.5779,-5.0384,-6.1082,-5.244,-7.7009,-3.1189,-5.1221,-5.7905,-6.1674,-6.9717,-3.8965,-2.1708,-4.167,-3.113,-3.6503,-2.2031,-2.1646,-1.7149,-1.2098,1.2589
201408,2.8794,4.1297,3.6735,4.9683,3.1075,6.1766,3.5036,4.404,4.0789,6.2524,3.6978,5.3388,4.6531,5.4509,6.0875,4.1327,4.3477,4.9987,4.6609,6.8239,3.8315,3.8375,3.8842,3.9241,4.6132
201409,-7.2589,-5.0626,-5.208,-5.5871,-6.2708,-7.7546,-5.1064,-5.1759,-4.145,-5.2717,-5.3653,-4.5108,-5.8779,-5.4551,-5.2986,-4.9147,-3.2363,-4.3498,-2.8724,-4.0186,-0.4271,-1.4423,-1.3904,-1.3025,-0.9871
201410,3.6284,8.3689,7.1434,5.4067,4.004,3.3534,7.9496,8.102,6.8747,6.1336,3.9614,4.5692,5.1993,4.7701,4.706,1.0653,3.7689,2.5831,1.5734,3.397,3.3141,2.4566,1.5964,2.1313,1.6723
201411,-1.144,-0.5065,-0.271,-1.8515,-1.4107,-1.8384,0.0178,0.6978,0.0359,0.9886,1.6521,2.635,2.1175,0.476,0.6701,0.7696,3.8048,2.8615,3.198,0.9193,3.675,1.9178,2.6024,2.8834,3.4462
201412,3.4599,4.6191,6.5492,4.0347,7.4107,1.9477,2.0859,3.0901,2.0224,2.4426,-0.2407,1.9883,0.197,1.3448,1.483,1.3124,0.3072,0.9633,0.4062,-0.2372,0.4049,0.6571,0.2024,0.1647,-4.0397
201501,-4.8818,-4.2575,-4.9018,-6.9642,-4.2073,-3.4593,-5.9571,-4.3365,-4.5799,-2.9757,-3.5061,-2.767,-3.0583,-1.8623,-2.8867,-3.0624,-1.353,-2.2733,-2.065,-0.6341,-5.4463,-3.0587,-3.2263,-3.7186,-0.869
201502,5.1005,5.0112,4.1951,6.9398,7.1257,5.2749,4.9489,5.662,7.1236,8.5693,6.7194,6.8801,6.298,6.8861,8.8241,7.2406,7.1932,5.4559,7.2987,9.2295,7.0093,4.8301,4.9162,5.3845,8.2061
201503,0.176,0.9916,3.1831,0.9155,2.492,0.418,1.8231,2.7031,2.0158,2.8375,1.6528,0.8774,1.6041,1.084,0.3665,-0.5886,0.0243,0.7466,0.074,2.2959,-2.1634,-1.634,-2.1202,-0.7793,-2.4838
201504,-1.8338,-2.6181,-2.1181,-1.4458,-3.3114,-2.0221,-1.96,-2.3425,-2.4934,-2.2181,-1.3392,-2.0511,-1.8929,-0.9804,-1.7417,0.3518,-1.1812,-1.0908,-0.965,-1.1509,1.6746,0.907,-0.0442,0.5062,4.0837
201505,-0.0323,0.3543,2.1486,1.8852,4.4308,2.63,1.3584,2.4207,0.9696,4.3927,2.31,2.5332,1.6625,1.6628,4.31,-0.1432,1.1662,2.3238,1.6822,3.2044,2.0874,1.6375,0.6332,0.944,0.8035
201506,1.0758,2.3909,2.648,3.2183,3.1137,-2.1865,1.5645,0.7271,0.8784,1.8344,-3.1047,-0.6262,0.4428,0.4329,0.2503,-3.0441,-1.3033,-2.0847,-1.1042,0.301,-1.5653,-1.5587,-2.2615,-1.782,-1.942
201507,-7.4834,-4.9617,-5.8654,-3.8632,-4.133,-4.936,-3.0238,-1.5247,-1.1362,-0.8817,-5.0804,-1.5785,-1.0565,-0.7822,-1.2522,0.7884,0.8727,1.4373,2.1025,-1.2011,1.5022,1.4593,1.8366,2.6292,4.9157
201508,-4.1409,-3.194,-3.6861,-4.2762,-6.4397,-5.806,-4.7436,-3.8813,-5.1536,-9.5685,-3.8804,-5.8917,-6.6093,-5.3687,-5.5432,-4.3162,-5.1345,-4.4976,-5.269,-9.6297,-6.6514,-5.7258,-6.9363,-5.2477,-6.2189
201509,-9.8208,-4.9106,-3.455,-3.4245,-8.3935,-8.6181,-5.2401,-3.5165,-4.122,-8.5356,-10.2085,-5.2379,-3.7386,-3.9497,-5.9411,-4.9082,-4.2143,-2.0206,-3.5901,-8.5174,-3.1521,-1.9739,-1.594,-2.9222,-2.8184
201510,4.4921,5.8679,6.6524,5.0028,5.2358,6.5354,6.627,5.4045,5.7073,3.6151,7.4815,5.5218,5.4139,7.0128,4.6963,8.4223,7.7984,7.4077,4.2664,3.0832,8.4355,8.5057,7.082,7.0899,11.905
201511,2.7361,1.7986,5.1253,2.5238,4.9076,3.7119,3.9221,5.1106,3.8702,6.0649,2.7235,2.1955,0.5862,2.0005,1.9063,0.2344,1.0012,0.3414,2.3562,1.0385,-0.4554,0.7919,-0.7245,0.6197,1.2475
201512,-6.6213,-4.8398,-3.2726,-4.339,-4.7116,-6.4984,-4.1375,-4.5512,-5.2815,-4.7207,-4.6248,-5.4079,-5.0381,-4.9997,-4.9055,-5.5544,-3.1897,-2.5918,-3.3493,-5.7803,-1.1395,-1.3876,-0.9252,-3.551,-0.5246
201601,-11.278,-6.5106,-7.6939,-5.3651,-15.3115,-9.8568,-8.8535,-6.4906,-7.328,-15.8522,-9.9808,-7.0985,-4.6461,-6.6844,-11.4362,-7.0221,-7.8273,-5.3406,-7.1735,-11.4331,-2.7599,-4.7472,-5.4246,-4.9012,-8.4979
201602,0.3808,-2.0005,1.2899,-0.1493,-2.2224,2.1311,0.5836,0.2391,0.6576,-0.5834,2.3428,1.5395,2.495,2.3728,-0.8589,1.8499,1.5919,2.094,1.6619,-2.4033,-0.0698,0.9535,0.4545,-1.0871,-2.7409
201603,7.5576,7.1403,5.5721,5.0802,7.1352,10.1457,8.6015,7.5177,7.3021,7.4686,11.636,8.6802,7.6645,6.3859,8.1579,7.7053,8.183,7.1626,8.4971,10.6519,7.0419,6.2268,6.0495,7.6504,6.5493
201604,4.0367,3.7508,2.4445,0.6299,5.2151,1.4977,2.4455,2.0474,1.1556,3.9015,4.154,1.7312,1.6106,-0.0064,2.02,0.6953,1.2109,0.6633,1.6185,4.5544,0.9483,2.0124,1.6338,-2.6333,0.6978
201605,-2.4374,0.7562,-0.3071,-0.0628,1.0517,1.9079,1.9092,2.3727,1.7271,2.6997,-1.7834,1.2504,1.7642,1.9794,2.9081,1.074,3.0529,2.9458,3.1517,2.7058,0.4864,1.304,0.7595,2.4773,3.9748
201606,-0.6674,0.9241,-0.3007,-0.2434,-2.0346,-1.674,0.1276,1.2438,1.0134,-1.9467,-1.6199,-2.4064,-0.125,-0.517,0.1349,-1.1232,-1.3502,-0.5441,-0.6594,-2.3756,1.8144,1.986,0.0926,-1.4728,-3.3476
201607,4.9584,5.2786,6.3933,6.1046,5.0476,6.9644,6.1992,4.3808,5.7862,8.4868,7.5796,5.8722,5.2534,4.3375,6.9285,2.8644,4.9435,3.7586,3.9269,5.8332,2.6029,2.4187,4.1401,3.9146,4.661
201608,4.3626,2.6842,1.8075,3.5319,4.1041,-0.0523,1.7982,1.7474,2.327,3.2997,3.7978,1.3945,0.8526,1.7916,1.2358,-0.1218,0.9972,2.0246,1.3927,0.962,1.2598,-0.8739,0.4205,0.6919,0.0607
201609,3.7982,3.3072,1.7782,2.7132,6.5748,4.9514,2.9626,0.7483,0.7437,2.0784,1.4762,0.9073,0.6834,0.1572,0.1738,1.1036,-1.2144,0.1748,-0.6116,0.7146,0.7866,-0.4913,-0.1173,-0.4967,1.3705
201610,-8.0109,-5.6208,-4.4405,-3.5513,-8.1743,-6.2844,-7.0975,-4.4893,-3.2876,-8.3947,-3.8151,-4.5335,-4.0608,-1.9419,-4.9762,-4.3987,-2.064,-1.0861,-0.5315,-4.6644,-1.1751,-1.9116,-1.0531,-1.2435,-2.1408
201611,13.433,12.5863,11.9925,13.8027,10.3138,18.6016,12.0862,12.5873,14.5247,9.8438,11.6762,10.8648,12.4506,8.417,8.7095,9.2562,6.5078,6.9942,5.8376,7.5458,6.5241,4.1779,5.0079,4.3005,0.8578
201612,3.1989,3.8246,5.8253,6.3311,4.0233,-0.3181,4.8262,3.457,2.7308,-0.2282,-0.495,0.4277,2.1497,3.6682,0.9731,-0.5701,0.7831,1.805,0.8146,-0.1223,1.74,2.4829,2.5013,2.2692,0.9219
201701,3.0247,-1.5929,-2.7139,-3.1299,-0.5168,3.4669,-0.0458,-1.9362,-0.1026,1.2479,1.8259,1.4447,0.0766,0.4312,3.117,1.9494,2.9113,1.6619,2.2749,4.1325,0.5769,0.3097,1.5122,1.9455,4.9026
201702,-2.0194,0.1509,0.161,1.234,2.5758,0.0463,0.241,0.9621,1.9979,3.6864,0.8135,0.6214,2.0429,1.8521,2.7835,3.0374,3.9297,3.1442,3.2879,2.2722,2.739,4.0094,4.6393,3.3715,4.462
201703,1.8227,1.3431,1.7635,-0.1353,1.7974,-1.259,0.6064,0.4858,0.1237,0.937,-0.8202,0.9903,-1.078,0.9429,0.0994,0.977,-0.5059,-0.9146,0.8402,0.4263,-0.2709,0.0102,-0.6858,-0.4985,1.9808
201704,-0.2159,0.7566,2.929,2.3057,0.5984,-0.0303,1.8547,2.141,1.8716,1.3019,-2.37,1.1049,1.2198,1.433,1.2562,1.0658,-0.5955,1.8777,0.9417,1.1026,-0.9204,1.0393,1.0986,1.4629,2.0595
201705,-0.8236,-0.8614,-2.9889,-4.4373,-2.812,-3.5632,-2.9411,-2.6436,-3.9166,-0.3829,-4.3326,-0.6551,-1.9192,-0.7573,-0.6971,-2.3652,1.0042,0.4817,0.2923,0.2303,-1.7356,1.112,2.2,2.0087,2.691
201706,5.6833,4.7804,3.8736,4.7701,7.0661,2.95,2.3161,4.4475,2.5873,5.4824,1.3798,0.322,3.1871,2.2982,4.5619,1.8884,1.5836,2.0174,1.7972,1.3022,1.116,1.5193,0.6478,-0.4386,-0.1097
201707,-1.1653,-1.7997,-0.6177,-0.9772,-0.8376,1.3011,1.762,-0.0488,0.1782,1.3921,2.2554,1.4289,1.2416,1.007,0.3411,1.5397,1.315,1.0171,2.024,1.189,0.761,3.1512,1.0996,1.6604,3.3736
201708,-0.6491,-6.0738,0.0709,-2.293,-0.3034,-2.8003,-1.9317,-2.4289,-2.213,-1.4494,-2.0832,-0.9856,-1.4888,-1.7548,-0.1536,-0.3475,-0.9607,-1.0313,0.1572,0.585,-0.7489,-1.8722,0.0726,2.1854,1.2197
201709,10.8246,9.652,9.0315,6.2801,7.8813,7.7413,8.2267,6.6176,8.2987,7.4479,6.9882,4.329,4.7613,5.4486,5.1068,6.9478,4.2202,3.6122,3.2368,2.9472,1.9816,3.4925,3.0005,0.7593,1.3765
201710,-1.7122,-1.9658,2.5243,2.6153,-1.2218,-1.7113,0.5491,0.4529,1.0893,0.9377,0.1383,0.1657,2.5158,1.4561,2.819,0.7679,1.5472,2.2595,1.9409,3.229,-3.2314,0.7615,1.0182,4.0362,5.0324
201711,2.0656,4.11,4.0585,5.2255,2.0049,1.2863,2.0312,1.9856,3.6844,3.2698,4.3075,1.9035,3.7526,4.3273,3.5823,3.7548,4.9607,3.6031,5.2108,4.2738,0.5137,4.6435,3.9833,3.3469,1.3009
201712,2.6985,-0.2376,-2.1823,-1.3901,0.0806,3.1563,1.1455,-0.9885,-0.2143,-0.2182,0.3784,0.7914,-0.5549,0.0412,0.5865,2.0878,1.5226,1.2372,-0.0331,1.1578,1.4541,2.7871,0.5119,1.1526,0.5742
201801,3.8672,2.0596,2.4322,0.208,3.9756,3.4759,2.4198,1.6081,0.7689,3.0662,5.6365,3.6007,1.8884,2.5374,4.7101,3.8048,4.8536,4.2286,3.7847,6.0697,3.4652,4.843,5.5185,5.044,10.4742
201802,-3.4411,-2.8838,-3.7593,-3.8626,-2.9623,-3.288,-2.2801,-3.5247,-3.5677,-3.2739,-5.7147,-5.0947,-4.6147,-3.4942,-3.0617,-5.9516,-5.0123,-4.3491,-3.3795,-2.1339,-5.9733,-6.3718,-2.9474,-2.3577,-2.1016
201803,1.1962,2.3945,2.7415,1.8614,1.0774,-0.9749,2.7237,0.7204,2.4561,1.0645,0.4861,-1.3175,0.1805,0.191,2.4367,0.1092,0.3722,0.1705,-0.2436,-0.0233,-0.8247,-1.9698,-3.205,-2.7635,-4.0742
201804,1.931,0.9855,1.1288,1.8983,0.5754,1.6307,3.1189,0.7528,1.4871,1.5772,2.293,-1.1819,1.0436,-0.6148,0.0572,1.8633,1.0258,-0.8355,-0.433,-1.088,5.1381,-0.1093,-0.3506,-0.316,1.6487
201805,11.4983,7.6251,7.7731,2.9228,8.3613,5.5963,5.8732,6.4444,5.0794,7.4005,6.9568,3.3106,5.7603,5.0671,5.0966,2.1375,3.9056,2.9323,3.6412,4.3312,-0.6018,1.0993,0.7991,2.596,4.6916
201806,1.1479,2.7631,0.9692,2.5372,1.4885,0.3311,1.5885,1.3474,0.6758,1.0963,0.5219,1.0389,-0.053,0.7404,-1.2048,1.032,0.7112,1.5682,-0.1966,0.6804,0.8713,1.4788,-0.9999,0.0224,1.8142
201807,-1.2541,-1.4675,1.0604,0.5708,-0.0919,2.6223,2.2201,2.1962,3.3124,1.4845,1.1916,2.8392,2.4106,1.5862,1.2206,1.7835,1.7546,3.8327,3.5032,0.7941,3.0941,5.171,4.1197,3.3615,3.1734
201808,3.8337,1.4824,2.6999,4.1232,5.5676,4.7442,3.4896,4.4005,6.1317,5.0223,4.1682,2.53,4.3159,3.459,6.0747,0.8869,2.3346,2.0557,1.4581,7.2352,1.3078,0.6373,2.0369,6.0367,5.4518
201809,-2.9837,-1.6538,-3.5141,-1.0513,-2.9067,-1.4958,-1.4498,-1.7775,-2.718,-2.6247,-3.0533,-1.0544,-1.8703,-1.9964,-3.1954,-1.2057,-1.1265,-0.1951,-0.1473,-0.3763,2.5354,0.71,0.3442,0.8324,-0.4037
201810,-11.1818,-7.8817,-9.9292,-9.6903,-14.4651,-11.5656,-6.7521,-11.298,-11.2518,-14.4862,-9.0515,-9.9928,-9.2255,-9.7248,-11.5768,-6.9153,-6.9007,-8.0419,-9.1115,-11.6003,-4.5732,-5.4382,-5.8589,-4.6894,-11.6726
201811,-1.8273,-1.242,1.8155,-0.4594,-1.8049,2.2137,0.7571,1.7729,3.5902,2.0595,-0.3091,3.5833,1.689,3.2927,-0.4302,1.2564,1.6342,3.3336,3.9609,0.7933,2.1188,2.9518,2.8788,-0.0489,2.1941
201812,-13.6366,-11.6112,-9.6397,-12.204,-13.701,-12.0829,-10.6085,-13.4127,-10.8632,-11.92,-12.0531,-10.9436,-11.8083,-11.8563,-11.9828,-11.7843,-10.7269,-10.5641,-11.0557,-11.1912,-8.4934,-9.3942,-9.0343,-9.3119,-8.1112
201901,13.2199,10.535,8.1081,9.8754,10.3518,10.4223,7.0385,9.6558,11.8072,11.4147,13.4006,12.0882,11.0397,10.8437,14.3103,11.1477,8.0776,10.3097,9.8372,14.1568,6.6204,7.5875,7.6595,7.1409,9.8025
201902,3.9176,6.493,4.6297,6.4102,7.5558,3.4018,4.2418,5.346,5.4541,7.171,5.1299,4.3107,3.6684,4.6746,7.4189,3.0095,5.0586,4.5693,3.5462,6.6883,4.7845,2.9877,3.7281,3.2577,2.523
201903,-2.7902,-4.4671,-4.7038,-3.2042,-1.851,-2.6972,-4.0875,-4.1575,-1.343,-1.3755,1.3836,-1.4449,-1.6635,-3.899,-0.9253,1.853,-0.0643,-0.6645,0.6406,0.8825,1.6815,-0.8412,0.8013,2.3508,3.9005
201904,1.2099,2.0802,4.4035,3.4015,0.1012,0.3376,2.4015,5.6305,3.25,3.0013,3.33,5.3502,4.8701,5.1321,4.4858,2.8372,3.8247,4.2916,4.6735,3.4149,0.2958,4.5257,4.8641,2.9481,6.6048
201905,-9.4621,-8.4232,-6.9883,-4.1056,-6.4813,-7.4472,-7.1133,-9.1136,-8.8592,-10.1163,-5.6727,-8.9238,-6.1682,-8.5976,-7.6782,-8.8566,-8.9772,-6.9496,-6.7878,-5.8415,-4.7696,-5.7605,-6.0301,-6.7858,-7.8719
201906,6.4211,5.4158,7.3503,5.0456,5.6863,7.0431,6.7259,7.8904,7.8457,8.6742,7.2862,7.645,6.5187,6.7838,9.9841,6.4556,7.9638,7.9982,8.8813,7.6942,6.8874,7.2625,6.23,7.4209,6.6818
